id,stateabb,ccode,year,major
884,DMA,54,2008,0
885,DMA,54,2009,0
886,DMA,54,2010,0
887,DMA,54,2011,0
888,DMA,54,2012,0
889,DMA,54,2013,0
890,DMA,54,2014,0
891,GRN,55,1974,0
892,GRN,55,1975,0
893,GRN,55,1976,0
894,GRN,55,1977,0
895,GRN,55,1978,0
896,GRN,55,1979,0
897,GRN,55,1980,0
898,GRN,55,1981,0
899,GRN,55,1982,0
900,GRN,55,1983,0
901,GRN,55,1984,0
902,GRN,55,1985,0
903,GRN,55,1986,0
904,GRN,55,1987,0
905,GRN,55,1988,0
906,GRN,55,1989,0
907,GRN,55,1990,0
908,GRN,55,1991,0
909,GRN,55,1992,0
910,GRN,55,1993,0
911,GRN,55,1994,0
912,GRN,55,1995,0
913,GRN,55,1996,0
914,GRN,55,1997,0
915,GRN,55,1998,0
916,GRN,55,1999,0
917,GRN,55,2000,0
918,GRN,55,2001,0
919,GRN,55,2002,0
920,GRN,55,2003,0
921,GRN,55,2004,0
922,GRN,55,2005,0
923,GRN,55,2006,0
924,GRN,55,2007,0
925,GRN,55,2008,0
926,GRN,55,2009,0
927,GRN,55,2010,0
928,GRN,55,2011,0
929,GRN,55,2012,0
930,GRN,55,2013,0
931,GRN,55,2014,0
932,SLU,56,1979,0
933,SLU,56,1980,0
934,SLU,56,1981,0
935,SLU,56,1982,0
936,SLU,56,1983,0
937,SLU,56,1984,0
938,SLU,56,1985,0
939,SLU,56,1986,0
940,SLU,56,1987,0
941,SLU,56,1988,0
942,SLU,56,1989,0
943,SLU,56,1990,0
944,SLU,56,1991,0
945,SLU,56,1992,0
946,SLU,56,1993,0
947,SLU,56,1994,0
948,SLU,56,1995,0
949,SLU,56,1996,0
950,SLU,56,1997,0
951,SLU,56,1998,0
952,SLU,56,1999,0
953,SLU,56,2000,0
954,SLU,56,2001,0
955,SLU,56,2002,0
956,SLU,56,2003,0
957,SLU,56,2004,0
958,SLU,56,2005,0
959,SLU,56,2006,0
960,SLU,56,2007,0
961,SLU,56,2008,0
962,SLU,56,2009,0
963,SLU,56,2010,0
964,SLU,56,2011,0
965,SLU,56,2012,0
966,SLU,56,2013,0
967,SLU,56,2014,0
968,SVG,57,1979,0
969,SVG,57,1980,0
970,SVG,57,1981,0
971,SVG,57,1982,0
972,SVG,57,1983,0
