id,stateabb1,ccode1,stateabb2,ccode2,year,defense,milex_1,milex_2,tpop_1,tpop_2
757,USA,2,GUA,90,1983,1,217198000,170009,234307.0,7524.0
758,USA,2,GUA,90,1984,1,237052000,181288,236348.0,7740.0
759,USA,2,GUA,90,1985,1,245154000,174000,238466.0,7963.0
760,USA,2,GUA,90,1986,1,265480000,130770,240651.0,8195.0
761,USA,2,GUA,90,1987,1,273966000,106320,242804.0,8434.0
762,USA,2,GUA,90,1988,1,281935000,127000,245021.0,8681.0
763,USA,2,GUA,90,1989,1,294880000,131000,247342.0,8935.0
764,USA,2,GUA,90,1990,1,289755000,71780,249907.0,9197.0
765,USA,2,GUA,90,1991,1,262389000,126000,252618.0,9467.0
766,USA,2,GUA,90,1992,1,286892000,109160,255391.0,9745.0
767,USA,2,GUA,90,1993,1,297600000,113000,258132.0,10030.0
768,USA,2,GUA,90,1994,1,293214000,136000,260602.0,10322.0
769,USA,2,GUA,90,1995,1,277834000,150000,262755.0,9976.0
770,USA,2,GUA,90,1996,1,277254000,211000,265284.0,10243.0
771,USA,2,GUA,90,1997,1,276324000,182000,267901.0,10517.0
772,USA,2,GUA,90,1998,1,279702000,159000,274028.0,10801.0
773,USA,2,GUA,90,1999,1,292147000,149000,276218.0,11090.0
774,USA,2,GUA,90,2000,1,303136000,155000,278357.0,11385.0
775,USA,2,GUA,90,2001,1,322365000,186000,285112.0,11678.0
776,USA,2,GUA,90,2002,1,348555000,158000,290270.0,11766.0
777,USA,2,GUA,90,2003,1,404920000,179000,292883.0,12063.0
778,USA,2,GUA,90,2004,1,455908000,112000,295487.0,12368.0
779,USA,2,GUA,90,2005,1,495326000,90000,298166.0,12679.0
780,USA,2,GUA,90,2006,1,521840000,146000,300943.0,12995.0
781,USA,2,GUA,90,2007,1,552568000,166000,303787.0,13318.0
782,USA,2,GUA,90,2008,1,616073000,180000,306657.0,13648.0
783,USA,2,GUA,90,2009,1,662049000,166000,309492.0,13989.0
784,USA,2,GUA,90,2010,1,693600000,156000,312247.0,14342.0
785,USA,2,GUA,90,2011,1,687000000,200000,314912.0,14707.0
786,USA,2,GUA,90,2012,1,655388000,212000,317505.0,15083.0
787,USA,2,HON,91,1936,0,932600,1000,128181.0,1060.0
788,USA,2,HON,91,1937,0,1032900,1100,128961.0,1080.0
789,USA,2,HON,91,1938,0,1131499,1000,129969.0,1100.0
790,USA,2,HON,91,1939,0,980000,1095,131028.0,1120.0
791,USA,2,HON,91,1940,0,1657000,1040,132122.0,1150.0
792,USA,2,HON,91,1941,0,6301000,-9,133402.0,1170.0
793,USA,2,HON,91,1942,0,26001000,1184,134860.0,1200.0
794,USA,2,HON,91,1943,0,72109000,1208,136739.0,1210.0
795,USA,2,HON,91,1944,0,87000000,1141,138397.0,1240.0
796,USA,2,HON,91,1945,1,90000000,1217,139928.0,1260.0
797,USA,2,HON,91,1946,1,45133984,1814,141389.0,1290.0
