stateabb,ccode,year,democ,autoc,polity,polity2
SIC,329,1829,0,10,-10,-10
SIC,329,1830,0,10,-10,-10
SIC,329,1831,0,10,-10,-10
SIC,329,1832,0,10,-10,-10
SIC,329,1833,0,10,-10,-10
SIC,329,1834,0,10,-10,-10
SIC,329,1835,0,10,-10,-10
SIC,329,1836,0,10,-10,-10
SIC,329,1837,0,10,-10,-10
SIC,329,1838,0,10,-10,-10
SIC,329,1839,0,10,-10,-10
SIC,329,1840,0,10,-10,-10
SIC,329,1841,0,10,-10,-10
SIC,329,1842,0,10,-10,-10
SIC,329,1843,0,10,-10,-10
SIC,329,1844,0,10,-10,-10
SIC,329,1845,0,10,-10,-10
SIC,329,1846,0,10,-10,-10
SIC,329,1847,0,10,-10,-10
SIC,329,1848,0,10,-10,-10
SIC,329,1849,0,10,-10,-10
SIC,329,1850,0,10,-10,-10
SIC,329,1851,0,10,-10,-10
SIC,329,1852,0,10,-10,-10
SIC,329,1853,0,10,-10,-10
SIC,329,1854,0,10,-10,-10
SIC,329,1855,0,10,-10,-10
SIC,329,1856,0,10,-10,-10
SIC,329,1857,0,10,-10,-10
SIC,329,1858,0,10,-10,-10
SIC,329,1859,0,10,-10,-10
SIC,329,1860,0,10,-10,-10
SIE,451,1961,6,0,6,6
SIE,451,1962,6,0,6,6
SIE,451,1963,6,0,6,6
SIE,451,1964,6,0,6,6
SIE,451,1965,6,0,6,6
SIE,451,1966,6,0,6,6
SIE,451,1967,0,7,-7,-7
SIE,451,1968,3,2,1,1
SIE,451,1969,3,2,1,1
SIE,451,1970,3,2,1,1
SIE,451,1971,0,6,-6,-6
SIE,451,1972,0,6,-6,-6
SIE,451,1973,0,6,-6,-6
SIE,451,1974,0,6,-6,-6
SIE,451,1975,0,6,-6,-6
SIE,451,1976,0,6,-6,-6
SIE,451,1977,0,6,-6,-6
SIE,451,1978,0,7,-7,-7
SIE,451,1979,0,7,-7,-7
SIE,451,1980,0,7,-7,-7
SIE,451,1981,0,7,-7,-7
SIE,451,1982,0,7,-7,-7
SIE,451,1983,0,7,-7,-7
SIE,451,1984,0,7,-7,-7
SIE,451,1985,0,7,-7,-7
SIE,451,1986,0,7,-7,-7
SIE,451,1987,0,7,-7,-7
SIE,451,1988,0,7,-7,-7
SIE,451,1989,0,7,-7,-7
SIE,451,1990,0,7,-7,-7
SIE,451,1991,0,6,-6,-6
SIE,451,1992,0,7,-7,-7
SIE,451,1993,0,7,-7,-7
SIE,451,1994,0,7,-7,-7
SIE,451,1995,0,7,-7,-7
SIE,451,1996,5,1,4,4
SIE,451,1997,-77,-77,-77,0
SIE,451,1998,-77,-77,-77,0
SIE,451,1999,-77,-77,-77,0
SIE,451,2000,-77,-77,-77,0
SIE,451,2001,-88,-88,-88,2
SIE,451,2002,5,0,5,5
SIE,451,2003,5,0,5,5
SIE,451,2004,5,0,5,5
SIE,451,2005,5,0,5,5
SIE,451,2006,5,0,5,5
SIE,451,2007,8,1,7,7
SIE,451,2008,8,1,7,7
SIE,451,2009,8,1,7,7
SIE,451,2010,8,1,7,7
SIE,451,2011,8,1,7,7
SIE,451,2012,8,1,7,7
SIE,451,2013,8,1,7,7
SIE,451,2014,8,1,7,7
SIE,451,2015,8,1,7,7
SIE,451,2016,8,1,7,7
SIE,451,2017,8,1,7,7
SIE,451,2018,8,1,7,7
SIN,830,1965,0,4,-4,-4
SIN,830,1966,0,4,-4,-4
SIN,830,1967,0,4,-4,-4
SIN,830,1968,0,4,-4,-4
SIN,830,1969,0,4,-4,-4
